"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000006128"	30.6685365763701	-21.1091812122911	3.24393269409658	-6.50728088492908	7.65232496374506e-11	1.95635938989789e-07
"ENSG00000009709"	438.088362584184	-24.6271420009243	3.33524756353247	-7.38390225367284	1.53716316184635e-13	1.76842935954614e-09
"ENSG00000033170"	4688.63112804023	2.52282144256513	0.487349579224511	5.17661561661659	2.25947055086478e-07	0.000185671992517314
"ENSG00000105929"	365.329316484299	-7.12974157928228	1.62153996846376	-4.39689536979898	1.0981024516931e-05	0.00549266071978401
"ENSG00000106536"	332.232248395101	-11.0263344773814	2.22135078835895	-4.96379704419727	6.91281819249384e-07	0.000467814805267914
"ENSG00000113430"	29.3343754588422	-20.9051424425213	3.62423221233225	-5.76815756214154	8.01428607806011e-09	9.55613291703656e-06
"ENSG00000120211"	26.0803826495284	-21.6035066682962	3.5285501598699	-6.1224881862223	9.21252492528282e-10	1.63054604619871e-06
"ENSG00000125686"	5233.83741254814	1.81994360752239	0.264771349590928	6.87364252338559	6.25829213924438e-12	2.39995073053123e-08
"ENSG00000128714"	119.622071908711	-23.2725261906802	3.53147670407166	-6.59002681904932	4.39747133580863e-11	1.26476772457026e-07
"ENSG00000131748"	2071.84401956735	1.96973166479569	0.331271889986023	5.94596681559305	2.74829825039893e-09	4.21570629622861e-06
"ENSG00000133124"	48.289904449684	-21.0601102436319	3.14289359604262	-6.70086644681505	2.07187336654963e-11	6.81024775584863e-08
"ENSG00000141741"	1222.40821444756	1.74004674588761	0.363165068818249	4.79133841685208	1.65672414351949e-06	0.000979103541726448
"ENSG00000147471"	3494.59054716773	2.37234582978871	0.411599817986989	5.76371933639608	8.22802013961211e-09	9.55613291703656e-06
"ENSG00000150630"	799.136111965882	3.70425414965951	0.670042068555021	5.52839041531812	3.23182200212232e-08	3.13313135057191e-05
"ENSG00000152977"	48.28143864899	-22.1896422380918	3.4701088441078	-6.39450900099849	1.61064062003823e-10	3.70592300264596e-07
"ENSG00000164483"	309.490506219405	4.18077096964009	0.664240697165792	6.29406025177133	3.0926769076806e-10	5.92995024740192e-07
"ENSG00000164484"	1390.57350759118	3.2270787921307	0.627995690830314	5.1386957573928	2.76651894408572e-07	0.000212182781281561
"ENSG00000164616"	33.6793410713683	-21.5870107934824	4.06575133453828	-5.3094764084813	1.09940612814823e-07	9.72932138560099e-05
"ENSG00000167258"	6063.86820127523	1.27082219136324	0.226033693497897	5.62226883831839	1.88465665464164e-08	1.97109386212043e-05
"ENSG00000169297"	140.422591849728	-22.3997083171229	3.8874080158424	-5.76211918734465	8.30643045507111e-09	9.55613291703656e-06
"ENSG00000170484"	27.2782699488393	-20.2742691432774	3.57392527504284	-5.67282961534061	1.40457913639937e-08	1.53895054044824e-05
"ENSG00000176153"	4665.33064987703	-8.52617692381462	1.77962582620347	-4.79099415072199	1.65956965219399e-06	0.000979103541726448
"ENSG00000178363"	321.330987667272	-22.6669705933564	3.57523217219302	-6.33999961447333	2.29765737263784e-10	4.80607258972945e-07
"ENSG00000185559"	46.5301676814056	-22.5113870492218	4.78235859480383	-4.70717253902313	2.51176304939661e-06	0.00137602752389444
"ENSG00000187156"	8.18195776047684	-20.1010148339695	3.46921977235504	-5.79410246480988	6.86875151860114e-09	9.29665315832315e-06
"ENSG00000187772"	44.5252491146082	-22.225564731792	4.17384463798046	-5.32496215348973	1.0097406107845e-07	9.29324868541621e-05
"ENSG00000188373"	122.656631155103	-22.668693989473	3.8755146347941	-5.8492087182319	4.93916999821314e-09	7.10283515555538e-06
"ENSG00000189182"	43.941870436189	-21.0382283892645	4.41105542880262	-4.76943188060897	1.84746201206931e-06	0.00106270633589257
"ENSG00000197641"	2121.3911159058	-27.0342798137169	3.05745940429905	-8.84207318524143	9.39586424873602e-19	2.16189440499167e-14
"ENSG00000203837"	13.7876660920539	-20.8862769524697	3.42420198165438	-6.09960424775487	1.06331394519398e-09	1.74755646892631e-06
"ENSG00000204344"	562.698245433305	1.49512722090128	0.285486540197269	5.23711983012634	1.63101803194099e-07	0.000138992940359001
"ENSG00000204560"	3032.79198120386	1.39871575522564	0.286834301520017	4.87638942697384	1.08045206996392e-06	0.000671895180481075
"ENSG00000204574"	5695.17590058996	1.37590490917717	0.267031481974679	5.1525943645388	2.56907268613785e-07	0.000203833770466709
"ENSG00000204590"	3745.36885304273	1.51794225444446	0.305509251871264	4.96856394739918	6.74505570500397e-07	0.000467814805267914
"ENSG00000204599"	1111.3614875848	1.2104185566915	0.265473865076826	4.55946409768514	5.12843231877867e-06	0.00268182043688133
"ENSG00000204618"	322.008627755083	3.42819696527938	0.720492326615509	4.75813112595276	1.9539356089827e-06	0.00109653913236788
"ENSG00000214617"	16.0259393786119	-21.0656915925243	4.60742847712838	-4.57211472670624	4.8282644133909e-06	0.00258357060203979
"ENSG00000229967"	53.3861503403471	-22.4515900745485	4.53002500812406	-4.95617353861938	7.18950071430302e-07	0.00047263777695828
"ENSG00000231074"	1991.9956292199	1.44433565241322	0.289055986568823	4.99673322652092	5.83096441655927e-07	0.000419264563314413
"ENSG00000234127"	3445.24407338591	1.79827645386412	0.257119328836158	6.99393725864155	2.67277123010098e-12	1.22995586466787e-08
"ENSG00000240216"	95.7124841601191	6.3534048050477	1.26319646571503	5.02962522259066	4.91439462653339e-07	0.000364759051490022
"ENSG00000242515"	38.8421158244446	-21.5590842374828	3.9010851048344	-5.52643268683521	3.26807564056351e-08	3.13313135057191e-05
"ENSG00000260019"	18.2400091186927	-21.115156924029	4.32271660404768	-4.88469609695377	1.03588502026348e-06	0.000662074400867844
"ENSG00000261409"	81.4637499137077	-21.8283996758193	2.98976692863915	-7.30103723695776	2.85557696803931e-13	2.19013234858722e-09
"ENSG00000261780"	11.4478248830991	-20.6684695905507	4.60549103160756	-4.48778847873172	7.19663274426098e-06	0.00367971828472669
"ENSG00000266469"	836.953929901703	1.8637241988025	0.260307069606867	7.15971410848433	8.08454843282323e-13	4.65043437227075e-09
