"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000003"	3662.33538617959	1.25151122436208	0.165866158234125	7.54530784149192	4.51220372171395e-14	7.65643771629176e-13
"ENSG00000000460"	972.088223173604	1.2039209720383	0.133892109903965	8.99172455271504	2.43381038745466e-19	9.15025215767063e-18
"ENSG00000000938"	1911.67111755773	-1.84842046290288	0.188957749712249	-9.78218922334606	1.34274229871507e-22	7.59094780126171e-21
"ENSG00000001084"	9572.09912555453	2.03124761394885	0.353841025674311	5.7405655833094	9.43608679130196e-09	6.7426994093499e-08
"ENSG00000001626"	1697.29126556747	-1.60446573933508	0.415833471176021	-3.85843336467717	0.0001141161711796	0.000360277028357769
"ENSG00000002079"	28.6688518278964	2.5176745572276	0.382110686090954	6.58886194202984	4.43210665562636e-11	4.68005241116598e-10
"ENSG00000002587"	749.929351482779	1.35907831264594	0.276701217228187	4.91171786759852	9.02818967282679e-07	4.41226882289872e-06
"ENSG00000002726"	525.822541791718	3.36466262277311	0.537274847137617	6.26246071391332	3.78949366517887e-10	3.4409021208406e-09
"ENSG00000002745"	40.6670880164127	1.96738175839931	0.452721075916227	4.3456818404526	1.38843695289488e-05	5.33567900501181e-05
"ENSG00000002746"	139.102744437982	2.74881044400309	0.304952810203087	9.01388789358096	1.98877984434526e-19	7.55112796015514e-18
"ENSG00000003249"	563.713516414126	1.70865982929138	0.27470383140071	6.22000727321113	4.97131836609188e-10	4.42153321551636e-09
"ENSG00000004478"	6039.66156911322	1.39782731964879	0.200890006438402	6.95817250659204	3.44714965475084e-12	4.33181138209514e-11
"ENSG00000004776"	70.7017095497999	-2.14971842509054	0.279127540806985	-7.70156330283816	1.34411559217639e-14	2.46821673267251e-13
"ENSG00000004799"	3323.75376177946	-2.35388056741337	0.326420331097715	-7.21119471785821	5.54630757845581e-13	7.99592675894046e-12
"ENSG00000004838"	190.288532913284	-1.69733946393821	0.342039271139856	-4.96241106549483	6.9623448863804e-07	3.48177773289995e-06
"ENSG00000004846"	20.3084349593457	-1.93085889202527	0.432043103762003	-4.46913485069514	7.85366078098309e-06	3.17248737552037e-05
"ENSG00000004848"	67.2032986593684	2.50067260885706	0.600638965434977	4.16335394931645	3.13606651282907e-05	0.000111889834693261
"ENSG00000005001"	836.057887120383	1.77714437855165	0.283375323131557	6.27134486839777	3.57942815345588e-10	3.26174504486599e-09
"ENSG00000005073"	37.5735462711562	5.24922403513588	0.729598803970257	7.19467193006785	6.26111262532865e-13	8.94239232751005e-12
