"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000003"	3662.33538617959	1.547016910955	0.220975151047817	7.00086368815394	2.54389359290605e-12	1.03597252529514e-10
"ENSG00000000938"	1911.67111755773	-2.13243656704269	0.246388771545331	-8.65476358223717	4.93934430083743e-18	6.80535167772266e-16
"ENSG00000002079"	31.2282849717091	1.92726077230572	0.518843231280845	3.71453390178759	0.000203578577327209	0.00103516894712083
"ENSG00000002587"	749.929351482779	1.78549664123369	0.362312176582689	4.92806136982315	8.30495336101223e-07	8.67795966773526e-06
"ENSG00000002726"	525.822541791718	3.25655601489263	0.69516374287828	4.68458841280914	2.80523060458242e-06	2.52131058518894e-05
"ENSG00000002746"	139.102744437982	2.42518097994389	0.396893160372131	6.11041263011441	9.93738689241761e-10	2.19062121636602e-08
"ENSG00000003249"	563.713516414126	1.92529340546328	0.359630031047238	5.3535390241378	8.6250423111727e-08	1.15245992182214e-06
"ENSG00000004478"	6039.66156911322	1.01198768399533	0.263638152782363	3.8385479237929	0.000123764060749426	0.000673371310897029
"ENSG00000004776"	70.7017095497999	-1.97361148319521	0.367639581281031	-5.36833242035094	7.94679818546371e-08	1.07368103023684e-06
"ENSG00000004799"	3323.75376177946	-1.98075410534473	0.428395136168487	-4.62366151740272	3.7702491286389e-06	3.26249199702341e-05
"ENSG00000004846"	20.3084349593457	-2.36178070161827	0.573990052899985	-4.1146718304364	3.87730639261974e-05	0.000248365653640834
"ENSG00000004864"	2658.10100496863	1.01650076288751	0.187511441477048	5.42100660567923	5.92643698921847e-08	8.37086486709194e-07
"ENSG00000005001"	836.057887120383	1.77154721504963	0.374208446686775	4.73411872643398	2.20008920703645e-06	2.03791676991553e-05
"ENSG00000005073"	31.326525722894	4.60656719793579	0.886247786404907	5.19783210587468	2.0162610699462e-07	2.49152260786209e-06
"ENSG00000005189"	316.037447130481	1.29754706053917	0.226607160631175	5.7259755469557	1.02841034743083e-08	1.74632425712443e-07
"ENSG00000005844"	2790.18202550235	-1.14621080279768	0.283868799419878	-4.03781889781514	5.39504768207296e-05	0.000330673021089017
"ENSG00000006047"	188.361070698767	4.34276058714517	0.582792248206839	7.45164439044474	9.21839263097027e-14	5.28942633531159e-12
"ENSG00000006074"	9534.09237697477	-2.61059709317295	0.417467504551755	-6.25341389379757	4.01576013867542e-10	9.52563144647245e-09
"ENSG00000006118"	1510.91036973453	2.84587543456575	0.358365254731392	7.94127052495322	2.00120668648218e-15	1.60999177095344e-13
"ENSG00000006327"	1693.78966489998	1.11086209171514	0.292084621994612	3.80322005358992	0.000142827377870417	0.000763549056092106
